GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
CloudStorage,com.visage.cloudstorage.Services,ResourceService,389,613,49,45,122,167,35,21,1,8
CloudStorage,com.visage.cloudstorage.Services,MinioService,67,233,6,10,21,72,8,10,2,8
CloudStorage,com.visage.cloudstorage.Services,AuthService,40,136,2,2,10,46,2,3,0,3
CloudStorage,com.visage.cloudstorage.Services,UserService,0,16,0,0,0,1,0,3,0,3
CloudStorage,com.visage.cloudstorage.Model,UserResponse,0,6,0,0,0,1,0,1,0,1
CloudStorage,com.visage.cloudstorage.Model,Role,0,15,0,0,0,2,0,1,0,1
CloudStorage,com.visage.cloudstorage.Model,ErrorResponse,0,9,0,0,0,1,0,1,0,1
CloudStorage,com.visage.cloudstorage.Model,User,0,19,0,0,0,6,0,6,0,6
CloudStorage,com.visage.cloudstorage.Configurations,ConfigMinio,12,0,0,0,5,0,2,0,2,0
CloudStorage,com.visage.cloudstorage.Configurations,RedisSaveSassionConfig,18,0,0,0,4,0,2,0,2,0
CloudStorage,com.visage.cloudstorage.Configurations,SecurityConfig,22,126,1,1,7,30,2,11,1,11
CloudStorage,com.visage.cloudstorage,CloudStorageApplication,5,3,0,0,2,1,1,1,1,1
CloudStorage,com.visage.cloudstorage.Exceptions,DataNotFoundException,0,4,0,0,0,2,0,1,0,1
CloudStorage,com.visage.cloudstorage.Exceptions,ParentFileIsAlreadyExists,4,0,0,0,2,0,1,0,1,0
CloudStorage,com.visage.cloudstorage.Exceptions,ExceptionsHandler,50,24,0,0,20,9,5,3,5,3
CloudStorage,com.visage.cloudstorage.Exceptions,NotCorrectNameFileOrPackage,4,0,0,0,2,0,1,0,1,0
CloudStorage,com.visage.cloudstorage.Controllers,AuthController,22,51,2,4,5,11,2,5,1,3
CloudStorage,com.visage.cloudstorage.Controllers,ResourceController,67,106,6,6,15,17,9,6,3,6
